Name,ID,Industry
HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO,Refineries & Marketing
IFCI LTD.,IFCI,Financial Institution
MAHANAGAR TELEPHONE NIGAM LTD.,MTNL,Telecom - Cellular & Fixed line services
MANGALORE REFINERY & PETROCHEMICALS LTD.,MRPL,Refineries & Marketing
CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO,Refineries & Marketing
RELIANCE CAPITAL LTD.,RELCAPITAL,Investment Company
STATE BANK OF INDIA,SBIN,Public Sector Bank
STEEL AUTHORITY OF INDIA LTD.,SAIL,Iron & Steel
Titan Company Limited,TITAN,Gems- Jewellery And Watches
IDBI BANK LTD.,IDBI,Private Sector Bank
DCW LTD.,DCW,Petrochemicals
DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,Sugar
DIAMINES & CHEMICALS LTD.-$,DIAMINESQ,Specialty Chemicals
ELANTAS BECK INDIA LTD.-$,ELANTAS,Specialty Chemicals
DR.REDDY'S LABORATORIES LTD.,DRREDDY,Pharmaceuticals
E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,Other Agricultural Products
Procter & Gamble Health Ltd,PGHL,Pharmaceuticals
ELECTROSTEEL CASTINGS LTD.,ELECTCAST,Castings & Forgings
ESAB INDIA LTD.,ESABINDIA,Other Industrial Products
EPL Ltd,EPL,Packaging
ESTER INDUSTRIES LTD.,ESTER,Packaging
FGP LTD.,FGP,Non Banking Financial Company (NBFC)
PH CAPITAL LTD.,PHCAP,Investment Company
FINOLEX CABLES LTD.,FINCABLES,Cables - Electricals
John Cockerill India Ltd-$,COCKERILL,Industrial Machinery
UFLEX LTD.,UFLEX,Packaging
FOSECO INDIA LTD.,FOSECOIND,Specialty Chemicals
GOLDEN TOBACCO LTD.,GOLDENTOBC,Residential- Commercial Projects
GANESH BENZOPLAST LTD.,GANESHBE,Oil Storage & Transportation
Metroglobal Limited,METROGLOBL,Trading & Distributors
GTL LTD.,GTL,Other Telecom Services
GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP,Cigarettes & Tobacco Products
GODREJ INDUSTRIES LTD.,GODREJIND,Animal Feed
KANSAI NEROLAC PAINTS LTD.,KANSAINER,Paints
GOODRICKE GROUP LTD.,GOODRICKE,Tea & Coffee
GOODYEAR INDIA LTD.,GOODYEAR,Tyres & Rubber Products
GTN INDUSTRIES LTD.,GTNINDS,Other Textile Products
GHCL LTD.,GHCL,Commodity Chemicals
GFL Ltd,GFLLIMITED,Holding Company
GUJARAT LEASE FINANCING LTD.,GLFL,Other Financial Services
HCL INFOSYSTEMS LTD.,HCL-INSYS,Computers Hardware & Equipments
HDFC Bank Ltd,HDFCBANK,Private Sector Bank
HERO MOTOCORP LTD.,HEROMOTOCO,2/3 Wheelers
HFCL Ltd,HFCL,Telecom - Infrastructure
Himadri Speciality Chemical Ltd,HSCL,Specialty Chemicals
HINDUSTAN CONSTRUCTION CO.LTD.,HCC,Engineering- Designing & Construction
HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP,Oil Exploration & Production
Agi Greenpac Ltd,AGI,Packaging
HINDUSTAN ZINC LTD.,HINDZINC,Zinc
Nxtdigital Ltd,NXTDIGITAL,TV Broadcasting & Software Production
HMT LTD.,HMT,Industrial Machinery
PRAG BOSIMI SYNTHETICS LTD.,PRAGBOS,Other Textile Products
HLV Ltd,HLVLTD,Hotels & Resorts
I G PETROCHEMICALS LTD.,IGPL,Commodity Chemicals
INDIA GLYCOLS LTD.,INDIAGLYCO,Commodity Chemicals
INDIA LEASE DEVELOPMENT LTD.,INDLEASE,Non Banking Financial Company (NBFC)
Margo Finance Limited,MARGOFIN,Non Banking Financial Company (NBFC)
INDO RAMA SYNTHETICS (INDIA) LTD.,INDORAMA,Other Textile Products
INFOSYS LTD.,INFY,Computers - Software & Consulting
INGERSOLL-RAND (INDIA) LTD.,INGERRAND,Compressors & Pumps
INSILCO LTD.,INSILCO,Industrial Minerals
INTERNATIONAL TRAVEL HOUSE LTD.-$,ITHL,Tour- Travel Related Services
ION EXCHANGE (INDIA) LTD.-$,IONEXCHANG,Engineering- Designing & Construction
AGRO TECH FOODS LTD.,ATFL,Edible Oil
JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS,Plastic Products - Industrial
JASCH INDUSTRIES LTD.,JASCH,Other Textile Products
JCT LTD.,JCTLTD,Other Textile Products
JINDAL POLY FILMS LTD.,JINDALPOLY,Packaging
JSW STEEL LTD.,JSWSTEEL,Iron & Steel
UMANG DAIRIES LTD.,UMANGDAIR,Dairy Products
KAJARIA CERAMICS LTD.,KAJARIACER,Furniture- Home Furnishing- Flooring
KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,Cement & Cement Products
KALYANI STEELS LTD.,KSL,Iron & Steel
Kanel Industries Limited,KANELIND,Trading & Distributors
WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,Household Appliances
KG DENIM LTD.,KGDENIM,Other Textile Products
KINETIC ENGINEERING LTD.,KINETICENG,Auto Components & Equipments
KIRLOSKAR BROTHERS LTD.-$,KIRLOSBROS,Compressors & Pumps
Kirloskar Industries Ltd,KIRLOSIND,Castings & Forgings
KIRLOSKAR FERROUS INDUSTRIES LTD.,KIRLFER,Pig Iron
ENVAIR ELECTRODYNE LTD.,ENVAIREL,Industrial Machinery
KOTAK MAHINDRA BANK LTD.,KOTAKBANK,Private Sector Bank
Krishna Filament Industries Ltd,KRIFILIND,Plastic Products - Industrial
KSB Ltd,KSB,Compressors & Pumps
L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,Auto Components & Equipments
TRENT LTD.,TRENT,Speciality Retail
LAKSHMI MACHINE WORKS LTD.,LAXMIMACH,Industrial Machinery
LIC HOUSING FINANCE LTD.,LICHSGFIN,Housing Finance Company
LUPIN LTD.,LUPIN,Pharmaceuticals
